target pageflip timestamp,pageflip timestamp,render start,render end,safety margin,refresh duration,vrr,tearing,predicted render time
8044994818666,8045011604000,8044968264993,8044975667003,20560666,16668333,0,0,23174527
8045028155332,8045028310000,8045003150789,8045008768031,19836846,16668333,0,0,23174527
8045061646666,8045078438000,8045038345313,8045048323509,19179084,16668333,0,0,22876967
8045094983332,8045111854000,8045073463207,8045084313023,20002417,16668333,0,0,22876967
8045111774666,8045128559000,8045087892151,8045100991282,20254809,16668333,0,0,23005856
8045145190666,8045145270000,8045111837661,8045117020796,18891803,16668333,0,0,23143202
8045161895666,8045178687000,8045142635592,8045149868592,19629766,16668333,0,0,23292304
8045195274999,8045212097000,8045177251747,8045183560801,20304316,16668333,0,0,23144217
8045228765333,8045245518000,8045212168802,8045219807261,20237873,16668333,0,0,22784023
8045278854666,8045278931000,8045246899204,8045252859967,18298411,16668333,0,0,22673278
8045312267666,8045312348000,8045281366956,8045289828675,19597797,16668333,0,0,22452826
8045345684666,8045345764000,8045315866951,8045322892503,18918666,16668333,0,0,22415481
8045379100666,8045379182000,8045349950457,8045358944937,19595670,16668333,0,0,22273826
8045412518666,8045412594000,8045384613206,8045391733597,-70720186,16668333,0,0,22280726
8045512603998,8045596380000,8045559984051,8045570614963,19683340,16668333,0,0,22145342
8045596380000,8045629797000,8045596449319,8045601368502,21922534,16668333,0,0,22881398
8045646384999,8045646506000,8045619683757,8045625993393,20768667,16668333,0,0,22881398
8045663133666,8045663214000,8045629735277,8045636784353,22268840,16668333,0,0,22537367
8045679842666,8045679921000,8045646362139,8045650785577,21223784,16668333,0,0,22420925
8045696550666,8045696630000,8045664358001,8045671208858,21164995,16668333,0,0,22331904
8045729966666,8045730042000,8045698919048,8045707072725,21667975,16668333,0,0,22067756
8045763378666,8045763460000,8045733118333,8045740409552,21778789,16668333,0,0,21980074
8045796796666,8045796877000,8045767474173,8045773792316,22107858,16668333,0,0,21835903
8045830213666,8045830296000,8045802268405,8045808961733,20679738,16668333,0,0,21631674
8045863632666,8045863710000,8045836710269,8045845705620,17118126,16668333,0,0,21461519
8045897046666,8045897127000,8045872152725,8045879697457,16447182,16668333,0,0,21462877
8045930463666,8045947247000,8045906451986,8045915107932,21217818,16668333,0,0,21352383
8045963800332,8045980662000,8045941305718,8045949035139,19951869,16668333,0,0,21352383
